OBJECTID,Status,Score,Match_type,Match_addr,Postal,Ref_ID,X,Y,User_fld,Addr_type,ARC_Single,Full_Addre,PC,WARD,PLAN_,LOT,BLG_TYPE,MUNICIPALI,DESCRIPTIO,D_U_,VALUE,FT2,PERMIT_,APPL__TYPE,ISSUED_DAT,M2,BLG_TYPE_F,latitude,longitude
37,M,100,A,"155 QUEEN ST, K1P6L1",K1P6L1,287892,367453.319519,5031604.38154,___A733N,Address,155 QUEEN ST,155 QUEEN ST,K1P6L1,Ward 14,3922, ,Office,Old Ottawa,Tenant fit-up in the basement of a 14 storey office building; add 1 elevator and escalators from ground floor lobby to basement  (Winners),0,3000000,22296,1500041,Construction,2015-01-07,2071.365288,Bureau,45.421577475655276,-75.69940937984275
104,M,100,A,"2313 CARLING AVE, K2B7G3",K2B7G3,12762,361465.963567,5025616.01464,___A59K0,Address,2313 CARLING AVE,2313 CARLING AVE,K2B7G3,Ward 7,546,4 & 5,Other,Old Ottawa,Interior alterations to a 1 storey funeral home (barrier free washroom),0,62828.19,500,1500117,Construction,2015-01-12,46.4515,Autre,45.368205446299356,-75.77659804689692
135,M,100,A,"50 O'CONNOR ST, K1P6L2",K1P6L2,158029,367473.011676,5031523.25866,___A6Z5V,Address,50 O'CONNOR ST,50 O'CONNOR ST,K1P6L2,Ward 14,3922,9-10,Mixed,Old Ottawa,"Interior alterations to a 17 storey office building (create accessible washrooms on Floors 2,3,4,7,8,9,10,11,12,13,14, and 16)",0,480000,904.16,1500158,Construction,2015-01-14,83.99917648,Polyvalent,45.420845794726134,-75.69916809449803
136,M,100,A,"99 BANK ST, K1P6B9",K1P6B9,96445,367405.096338,5031480.83295,___A51F1,Address,99 BANK ST,99 BANK ST,K1P6B9,Ward 14, , ,Office,Old Ottawa,"Interior alteration to create accessible washrooms (floors 2, 4, 7 & 9, in the elevator corridor)",0,160000,258.33,1500159,Construction,2015-01-14,23.999631989999997,Bureau,45.42047014160185,-75.70004122203666
141,M,100,A,"1595 MERIVALE RD, K2G3J4",K2G3J4,318015,364902.303094,5023958.18022,__1OXJMZ,Address,1595 MERIVALE RD,1595 MERIVALE RD,K2G3J4,Ward 9, ,33,Retail,Nepean,"Interior alterations in a 1 storey retail building (Red Lobster, Accessible Washrooms)",0,68000,409,1500167,Construction,2015-01-14,37.997327,Vente au détail,45.353002252214736,-75.73293476352387
247,M,100,A,"525 COTE ST, K1K0Z8",K1K0Z8,407524,371542.107731,5033281.52232,___A7AFJ,Address,525 COTE ST,525 COTE ST,K1K0Z8,Ward 13, ,252-261,Other,Old Ottawa,Interior alterations to a 2 storey community complex (make pool change rooms accessible),0,80636.36,4219,1500279,Construction,2015-01-23,391.957757,Autre,45.436289507407,-75.64694060191307
248,M,100,A,"1701 WOODROFFE AVE, K2G1W2",K2G1W2,279964,364150.51519,5021052.44637,__1U8ANE,Address,1701 WOODROFFE AVE,1701 WOODROFFE AVE,K2G1W2,Ward 9, , ,Other,Nepean,Tenant fit up in a 1 storey community building (Lawnbowl Pavillion - accessibility),0,121325,270,1500280,Construction,2015-01-23,25.08381,Autre,45.32692077363969,-75.7428773190875
298,M,100,A,"1660 CARLING AVE, K2A1C5",K2A1C5,56902,363623.199916,5026794.86169,__6X1RGV,Address,1660 CARLING AVE,1660 CARLING AVE,K2A1C5,Ward 15, , ,Retail,Old Ottawa,Tenant fitup on the ground floor (CRU-1 & CRU-4) and add a freight lift in a  2 storey retail building (Canadian Tire).,0,200000,8367.05,1500333,Construction,2015-01-28,777.32404615,Vente au détail,45.37863481931508,-75.74892044354308
342,M,100,A,3701 CARLING AVE, ,277866,353097.089927,5023344.98013,__1U87LM,Address,3701 CARLING AVE,3701 CARLING AVE, ,Ward 7, , ,Office,Nepean,Interior alterations (replace elevator) to a 4 storey office/industrial building (David Florida Laboratory),0,418000,1184,1500382,Construction,2015-01-30,109.997152,Bureau,45.34839702950761,-75.88365124888583
478,M,100,A,"879 HIAWATHA PARK RD, K1C2Z6",K1C2Z6,9164,379421.906946,5038581.88523,__353FNT,Address,879 HIAWATHA PARK RD,879 HIAWATHA PARK RD,K1C2Z6,Ward 1, ,5,Other,Gloucester,Interior alterations to upgrade the Elevator Shafts in  a 4 storey long-term care residency (Residence Saint-Louis),0,275000,376.74,1500550,Construction,2015-02-11,35.00027622,Autre,45.48318168766386,-75.54543409574035
497,M,98.9,A,2287 ST. LAURENT BLVD, ,204527,374225.415436,5027798.06415,___A7MY8,Address,2287 ST. LAURENT BLVD,2287 ST. LAURENT BLVD, ,Ward 10, , ,Office,Old Ottawa,Lift existing office building to construct a slab foundation beneath it,0,10000,592,1500572,Construction,2015-02-13,54.998576,Bureau,45.38669083911913,-75.61342036093994
642,T,100,A,1130 WELLINGTON ST W, ,396628,365246.830872,5029267.29436,__90BZR9,Address,1130 WELLINGTON ST W,1130 WELLINGTON ST W, ,Ward 15,14,2,Mixed,Old Ottawa,FOUNDATION ONLY - Construct the foundation and parking garage for a mixed use building (This permit does not include the garage ramp),52,16000000,84779.33,1500721,Construction,2015-02-24,7876.25409499,Polyvalent,45.40074305981421,-75.72788818154137
643,T,100,A,10 ROSEMOUNT AVE, ,395649,365246.830872,5029267.29436,__90BZY2,Address,10 ROSEMOUNT AVE,10 ROSEMOUNT AVE, ,Ward 15,14,2,Mixed,Old Ottawa,FOUNDATION ONLY - Construct the foundation and parking garage for a mixed use building (This permit does not include the garage ramp),52,16000000,84779.33,1500721,Construction,2015-02-24,7876.25409499,Polyvalent,45.40074305981421,-75.72788818154137
675,M,100,A,"2720 RICHMOND RD, K2B6S2",K2B6S2,10936,360228.031498,5024527.45634,___A668E,Address,2720 RICHMOND RD,2720 RICHMOND RD,K2B6S2,Ward 7,348,488-489,Office,Old Ottawa,"Construction of stair and elevator additions, partial demolition and interior alterations to a 3 storey assembly building (conversion of Grant School into Centre Multiservices Francophone de l'Ouest d'Ottawa)",0,3230000,21992,1500755,Construction,2015-02-26,2043.122776,Bureau,45.35850962985594,-75.79252251144193
880,M,100,A,"370 507 DOMINION AVE, K2A3X4",K2A3X4,321252,362752.685206,5028195.33553,___A5D99,Address,370 DOMINION AVE,370 DOMINION AVE,K2A3X4,Ward 15, , ,Apartment,Old Ottawa,"Repair to the parking garage, ramp and laneway in a 14 storey apartment building",0,426210,0,1500950,Construction,2015-03-11,0,Appartement,45.39130864188611,-75.75987021804562
922,M,100,A,"365 LAURIER AVE W, K1A0X6",K1A0X6,336768,367331.533145,5031234.76702,___A6TJB,Address,365 LAURIER AVE W,365 LAURIER AVE W,K1A0X6,Ward 14,3922,27-30,Office,Old Ottawa,Interior alterations on the 5th to the 21st floor of a 21 storey office building (accessible washrooms),0,528000,1600,1501007,Construction,2015-03-13,148.6448,Bureau,45.41826269640893,-75.70101234157475
1075,M,100,A,"433 NELSON ST, K1N7S6",K1N7S6,61953,369100.510103,5031812.00571,___A6ZHS,Address,433 NELSON ST,433 NELSON ST,K1N7S6,Ward 12,37221,20,Institutional,Old Ottawa,Exterior/interior alterations to a 4 storey Group Home (Install power assist door in 5 locations and upgrade entrance ramp),0,15000,344,1501178,Construction,2015-03-24,31.958632,Institutionnel,45.42329614480363,-75.67833638858416
1082,M,100,A,"515 SUSSEX DR, K1N6Z6",K1N6Z6,83968,367887.722483,5032216.74273,___A6D9F,Address,515 SUSSEX DR,515 SUSSEX DR,K1N6Z6,Ward 12,42482,10,Institutional,Old Ottawa,Exterior alterations to replace accessibility ramp,0,67000,215.28,1501185,Construction,2015-03-24,20.00015784,Institutionnel,45.42704825716967,-75.69378063865945
